Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2001","2001","3050","FAO TIER 1","kilotonnes","137.8027","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2001","2001","3050","FAO TIER 1","kilotonnes","3.5727","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2002","2002","3050","FAO TIER 1","kilotonnes","137.234","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2002","2002","3050","FAO TIER 1","kilotonnes","3.5579","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2003","2003","3050","FAO TIER 1","kilotonnes","131.0895","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2003","2003","3050","FAO TIER 1","kilotonnes","3.3986","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2004","2004","3050","FAO TIER 1","kilotonnes","137.0564","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2004","2004","3050","FAO TIER 1","kilotonnes","3.5533","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2005","2005","3050","FAO TIER 1","kilotonnes","141.4751","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2005","2005","3050","FAO TIER 1","kilotonnes","3.6679","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2006","2006","3050","FAO TIER 1","kilotonnes","148.2068","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2006","2006","3050","FAO TIER 1","kilotonnes","3.8424","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2007","2007","3050","FAO TIER 1","kilotonnes","151.3931","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2007","2007","3050","FAO TIER 1","kilotonnes","3.925","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2008","2008","3050","FAO TIER 1","kilotonnes","153.0659","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2008","2008","3050","FAO TIER 1","kilotonnes","3.9684","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2009","2009","3050","FAO TIER 1","kilotonnes","157.8544","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2009","2009","3050","FAO TIER 1","kilotonnes","4.0925","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2010","2010","3050","FAO TIER 1","kilotonnes","161.6979","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2010","2010","3050","FAO TIER 1","kilotonnes","4.1922","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2011","2011","3050","FAO TIER 1","kilotonnes","164.8748","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2011","2011","3050","FAO TIER 1","kilotonnes","4.2745","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2012","2012","3050","FAO TIER 1","kilotonnes","169.1431","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2012","2012","3050","FAO TIER 1","kilotonnes","4.3852","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2013","2013","3050","FAO TIER 1","kilotonnes","172.7822","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2013","2013","3050","FAO TIER 1","kilotonnes","4.4795","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2014","2014","3050","FAO TIER 1","kilotonnes","174.8196","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2014","2014","3050","FAO TIER 1","kilotonnes","4.5324","E","Estimated value",""
