Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2001","2001","3050","FAO TIER 1","kilotonnes","137.1754","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2001","2001","3050","FAO TIER 1","kilotonnes","3.5564","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2002","2002","3050","FAO TIER 1","kilotonnes","136.6572","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2002","2002","3050","FAO TIER 1","kilotonnes","3.543","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2003","2003","3050","FAO TIER 1","kilotonnes","130.5787","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2003","2003","3050","FAO TIER 1","kilotonnes","3.3854","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2004","2004","3050","FAO TIER 1","kilotonnes","136.6203","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2004","2004","3050","FAO TIER 1","kilotonnes","3.542","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2005","2005","3050","FAO TIER 1","kilotonnes","140.9985","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2005","2005","3050","FAO TIER 1","kilotonnes","3.6555","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2006","2006","3050","FAO TIER 1","kilotonnes","147.7435","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2006","2006","3050","FAO TIER 1","kilotonnes","3.8304","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2007","2007","3050","FAO TIER 1","kilotonnes","150.9357","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2007","2007","3050","FAO TIER 1","kilotonnes","3.9131","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2008","2008","3050","FAO TIER 1","kilotonnes","152.6214","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2008","2008","3050","FAO TIER 1","kilotonnes","3.9569","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2009","2009","3050","FAO TIER 1","kilotonnes","157.4026","E","Estimated value",""
